experiment,contrast,scheme,replicates,n_messages,n_units,draw_size_min,draw_size_max,difference_m,ratio,difference_low_m,difference_high_m,ratio_low,ratio_high
removal_10_4,MinMax_minus_FP_on_survivors,spatial_1000m,6000,549,24,116,1588,130.56509023512092,1.2310620146892963,-19.144305401511133,226.00569988455538,0.9685161834054306,1.4103498356101167
removal_10_5,FP_removal_on_survivors,paired_messages,6000,722,722,722,722,171.30968917059374,1.572307115440985,133.36019110973808,207.44613664919854,1.4189284420470967,1.7294568555721714
removal_10_5,MinMax_removal_on_survivors,paired_messages,6000,722,722,722,722,223.69446085805635,1.372333019920618,168.4650120606436,262.12437445711726,1.2811647217994413,1.4498703371934165
removal_10_5,MinMax_minus_FP_on_survivors,paired_messages,6000,722,722,722,722,353.84438235469895,1.7518343148799,288.74745629807524,398.71376695307316,1.5981858253876733,1.8903443426056177
removal_10_5,FP_removal_on_survivors,spatial_1000m,6000,722,30,152,1630,171.30968917059374,1.572307115440985,86.07710537061628,275.3486282576925,1.3052925280588388,1.8900561085441723
removal_10_5,MinMax_removal_on_survivors,spatial_1000m,6000,722,30,152,1630,223.69446085805635,1.372333019920618,75.72216133129855,619.9462592579489,1.1485145879136522,1.8013879973625628
removal_10_5,MinMax_minus_FP_on_survivors,spatial_1000m,6000,722,30,152,1630,353.84438235469895,1.7518343148799,175.70378393429795,864.9474396119908,1.3885809908293258,2.650242060255544
removal_10_6,FP_removal_on_survivors,paired_messages,6000,240,240,240,240,102.04228564151407,1.3115464774412287,34.43423611727611,179.20015903489562,1.0996458073705717,1.603097685616485
removal_10_6,MinMax_removal_on_survivors,paired_messages,6000,240,240,240,240,10.472807770211148,1.015215338456138,-90.91993107880792,81.2155259099068,0.8825227064829466,1.12399762899508
removal_10_6,MinMax_minus_FP_on_survivors,paired_messages,6000,240,240,240,240,269.2017460334933,1.6266670416630842,189.18046034235113,358.1733238154236,1.3957590674954095,1.9479636064073174
removal_10_6,FP_removal_on_survivors,spatial_1000m,6000,240,20,24,827,102.04228564151407,1.3115464774412287,43.94245794984715,432.3484000376071,1.1452041122295282,2.185412261237661
removal_10_6,MinMax_removal_on_survivors,spatial_1000m,6000,240,20,24,827,10.472807770211148,1.015215338456138,-152.19126248540113,342.83831142862266,0.7871800673268435,1.4929103462240978
removal_10_6,MinMax_minus_FP_on_survivors,spatial_1000m,6000,240,20,24,827,269.2017460334933,1.6266670416630842,-53.46506482984819,334.23314190532403,0.9339044379399161,1.8785817875467272
removal_10_7,FP_removal_on_survivors,paired_messages,6000,350,350,350,350,70.53868547995825,1.2503333775614407,7.091615090262516,98.46892732101058,1.0219580517528746,1.3723035986484666
removal_10_7,MinMax_removal_on_survivors,paired_messages,6000,350,350,350,350,42.35630596535407,1.0533909529839798,-15.438631621958978,122.67644825045313,0.981562351125538,1.1691142916595794
removal_10_7,MinMax_minus_FP_on_survivors,paired_messages,6000,350,350,350,350,483.3622887346241,2.3719501655134274,438.25918194595226,539.6430108385398,2.1820428357381343,2.6959340981825526
removal_10_7,FP_removal_on_survivors,spatial_1000m,6000,350,26,67,965,70.53868547995825,1.2503333775614407,15.22217638285332,138.35685562639887,1.0378732173039003,1.3723133280720503
